"Date","Authorized Orders","Auth Units","Authorized Sales","Authorized AUR","Canceled Units","Canceled Sales","Gross Units","GMV","Commission Charged"
"03/28/17",0,0,0,0,0,0,0,0,0
"03/27/17",3,3,150.15,50.05,0,0,3,150.15,22.52
"03/26/17",3,4,199.1,49.77,0,0,4,199.1,29.86
"03/25/17",0,0,0,0,0,0,0,0,0
"03/24/17",1,1,47.3,47.3,0,0,1,47.3,7.09
"03/23/17",3,3,148.5,49.5,0,0,3,148.5,22.27
"03/22/17",2,3,145.2,48.4,0,0,3,145.2,21.78
"03/21/17",3,4,189.2,47.3,0,0,4,189.2,28.38
"03/20/17",1,3,131.97,43.99,0,0,3,131.97,19.8
"03/19/17",6,8,388.3,48.54,0,0,8,388.3,58.24
"03/18/17",3,4,199.1,49.77,0,0,4,199.1,29.86
"03/17/17",3,5,251.35,50.27,0,0,5,251.35,37.7
"03/16/17",1,1,47.3,47.3,0,0,1,47.3,7.09
"03/15/17",0,0,0,0,0,0,0,0,0
"03/14/17",2,2,101.2,50.6,0,0,2,101.2,15.18
"03/13/17",2,3,151.8,50.6,0,0,3,151.8,22.77
"03/12/17",2,2,102.85,51.42,0,0,2,102.85,15.43
"03/11/17",2,2,97.9,48.95,0,0,2,97.9,14.69
"03/10/17",3,3,148.5,49.5,0,0,3,148.5,22.27
"03/09/17",2,2,101.2,50.6,0,0,2,101.2,15.18
"03/08/17",1,1,50.6,50.6,0,0,1,50.6,7.59
"03/07/17",1,2,101.2,50.6,0,0,2,101.2,15.18
"03/06/17",5,6,297,49.5,1,47.3,5,249.7,37.45
"03/05/17",10,13,631.4,48.57,0,0,13,631.4,94.71
"03/04/17",5,8,403.15,50.39,0,0,8,403.15,60.47
"03/03/17",1,1,50.6,50.6,0,0,1,50.6,7.59
"03/02/17",0,0,0,0,0,0,0,0,0
"03/01/17",2,2,97.9,48.95,0,0,2,97.9,14.69
"02/28/17",0,0,0,0,0,0,0,0,0
"02/27/17",3,5,249.7,49.94,0,0,5,249.7,37.45
"02/26/17",0,0,0,0,0,0,0,0,0
"02/25/17",1,2,101.2,50.6,0,0,2,101.2,15.18
"02/24/17",1,1,50.6,50.6,0,0,1,50.6,7.59
"02/23/17",3,4,217.25,54.31,0,0,4,217.25,32.59
"02/22/17",0,0,0,0,0,0,0,0,0
"02/21/17",1,1,55.55,55.55,0,0,1,55.55,8.33
"02/20/17",0,0,0,0,0,0,0,0,0
"02/19/17",0,0,0,0,0,0,0,0,0
"02/18/17",0,0,0,0,0,0,0,0,0
"02/17/17",0,0,0,0,0,0,0,0,0
"02/16/17",0,0,0,0,0,0,0,0,0
"02/15/17",0,0,0,0,0,0,0,0,0
"02/14/17",0,0,0,0,0,0,0,0,0
"02/13/17",0,0,0,0,0,0,0,0,0
"02/12/17",0,0,0,0,0,0,0,0,0
"02/11/17",0,0,0,0,0,0,0,0,0
"02/10/17",0,0,0,0,0,0,0,0,0
"02/09/17",0,0,0,0,0,0,0,0,0
"02/08/17",0,0,0,0,0,0,0,0,0
"02/07/17",0,0,0,0,0,0,0,0,0
"02/06/17",0,0,0,0,0,0,0,0,0
"02/05/17",0,0,0,0,0,0,0,0,0
"02/04/17",0,0,0,0,0,0,0,0,0
"02/03/17",2,2,2,1,1,1,1,1,0.15
"02/02/17",0,0,0,0,0,0,0,0,0
"02/01/17",0,0,0,0,0,0,0,0,0
"01/31/17",0,0,0,0,0,0,0,0,0
"01/30/17",0,0,0,0,0,0,0,0,0
"01/29/17",0,0,0,0,0,0,0,0,0
"01/28/17",0,0,0,0,0,0,0,0,0
"01/27/17",0,0,0,0,0,0,0,0,0
"01/26/17",0,0,0,0,0,0,0,0,0
"01/25/17",0,0,0,0,0,0,0,0,0
"01/24/17",0,0,0,0,0,0,0,0,0
"01/23/17",0,0,0,0,0,0,0,0,0
"01/22/17",0,0,0,0,0,0,0,0,0
"01/21/17",0,0,0,0,0,0,0,0,0
"01/20/17",0,0,0,0,0,0,0,0,0
"01/19/17",0,0,0,0,0,0,0,0,0
"01/18/17",0,0,0,0,0,0,0,0,0
"01/17/17",0,0,0,0,0,0,0,0,0
"01/16/17",0,0,0,0,0,0,0,0,0
"01/15/17",0,0,0,0,0,0,0,0,0
"01/14/17",0,0,0,0,0,0,0,0,0
"01/13/17",0,0,0,0,0,0,0,0,0
"01/12/17",0,0,0,0,0,0,0,0,0
"01/11/17",0,0,0,0,0,0,0,0,0
"01/10/17",0,0,0,0,0,0,0,0,0
"01/09/17",0,0,0,0,0,0,0,0,0
"01/08/17",0,0,0,0,0,0,0,0,0
"01/07/17",0,0,0,0,0,0,0,0,0
"01/06/17",0,0,0,0,0,0,0,0,0
"01/05/17",0,0,0,0,0,0,0,0,0
"01/04/17",0,0,0,0,0,0,0,0,0
"01/03/17",0,0,0,0,0,0,0,0,0
"01/02/17",0,0,0,0,0,0,0,0,0
"01/01/17",0,0,0,0,0,0,0,0,0
"12/31/16",0,0,0,0,0,0,0,0,0
"12/30/16",0,0,0,0,0,0,0,0,0
"12/29/16",0,0,0,0,0,0,0,0,0